id	hotCode	name	category	defaultDose	unit	route	isInjectable	majorCategory	subCategory
cmtgz3hul07ovhgyntjv8s17l	116174801	水酸化カリウム		10g		外用	FALSE		
cmtgz3hul07owhgyn74xnm9jx	116176201	コレステロール		1g		外用	FALSE		
cmtgz3hul07oxhgynh8c4wnmw	116177901	ステアリン酸		10g		外用	FALSE		
cmtgz3hul07oyhgyn4yk1kx85	116178601	セタノール		10g		外用	FALSE		
cmtgz3hul07ozhgyn70zv7htc	116179301	ツバキ油		10mL		外用	FALSE		
cmtgz3hul07p0hgynhtvjezkg	116180901	パラフィン		10g		外用	FALSE		
cmtgz3hul07p1hgyntxnr6yqd	116181601	ベントナイト		100g		外用	FALSE		
cmtgz3hul07p2hgynbvwtu0i1	116183001	ラッカセイ油		10mL		外用	FALSE		
cmtgz3hul07p3hgyn8ivtyzoa	116184701	加水ラノリン		10g		外用	FALSE		
cmtgz3hul07p4hgyn49hjqdlt	116185401	牛脂		10g		外用	FALSE		
cmtgz3hul07p5hgyn3o756k09	116186103	豚脂		10g		外用	FALSE		
cmtgz3hul07p6hgyn1ypj526z	116190801	ローズ油		1mL		外用	FALSE		
cmtgz3hul07p7hgynqtk97qa5	116193901	パラオキシ安息香酸エチル		1g		外用	FALSE		
cmtgz3hul07p8hgynuclh7ec0	116194601	パラオキシ安息香酸ブチル		1g		外用	FALSE		
cmtgz3hul07p9hgynybx042st	116195301	パラオキシ安息香酸プロピル		1g		外用	FALSE		
cmtgz3hul07pahgynsvp43cyu	116196001	オルメテック錠10mg		1錠		内服	FALSE		
cmtgz3hul07pbhgync1o5hj9e	116197701	オルメテック錠20mg		1錠		内服	FALSE		
cmtgz3hul07pchgynlv8ac3zg	116198401	グルファスト錠5mg		1錠		内服	FALSE		
cmtgz3hul07pdhgyn0s6zs0cq	116199101	グルファスト錠10mg		1錠		内服	FALSE		
cmtgz3hul07pehgyn8ssuc1v1	116201101	プレセデックス静注液200μg		1瓶		注射・点滴	TRUE		
